"Product Name",Total_Quantity_Sold,Total_Revenue
"WWI Desktop PC2.33 X2330 Black",550,505450
"Adventure Works Desktop PC2.33 XD233 Silver",481,466089
"Adventure Works Desktop PC2.33 XD233 Brown",479,464151
"Adventure Works Desktop PC2.33 XD233 Black",462,447678
"Adventure Works Desktop PC2.33 XD233 White",451,437019
"WWI Desktop PC2.33 X2330 White",462,424578
"WWI Desktop PC2.33 X2330 Brown",460,422740
"Adventure Works 52" LCD HDTV X590 White",136,394398.63999999996
"Adventure Works 52" LCD HDTV X590 Black",129,374098.7099999999
"WWI Desktop PC2.33 X2330 Silver",392,360248
"Adventure Works 52" LCD HDTV X590 Silver",122,353798.78
"Adventure Works Desktop PC2.30 MD230 White",521,312079
"Adventure Works 52" LCD HDTV X590 Brown",107,310298.93
"Adventure Works Desktop PC2.30 MD230 Black",514,307886
"Adventure Works Desktop PC2.30 MD230 Silver",480,287520
"WWI Desktop PC2.30 M2300 Brown",458,256022
"WWI Desktop PC2.30 M2300 Silver",456,254904
"WWI Desktop PC2.30 M2300 White",448,250432
"Adventure Works Desktop PC2.30 MD230 Brown",405,242959.4999999999
"Adventure Works Desktop PC1.80 ED182 Silver",477,238452.2999999999
"Contoso Water Heater 7.2GPM X1800 Silver",157,231575
"Adventure Works Desktop PC3.0 MS300 Black",476,223244
"Adventure Works Desktop PC1.80 ED182 Brown",439,219456.1
"Adventure Works Desktop PC3.0 MS300 Silver",464,217616
"Contoso Water Heater 7.2GPM X1800 Green",147,216825
"WWI Desktop PC2.30 M2300 Black",386,215774
"Contoso Water Heater 7.2GPM X1800 White",141,207975
"Contoso Water Heater 7.2GPM X1800 Grey",138,203550
"Adventure Works Desktop PC1.80 ED182 White",400,199959.9999999998
"Contoso Water Heater 7.2GPM X1800 Red",135,199125
"Adventure Works 52" LCD HDTV X790W Brown",125,199025
"Adventure Works Desktop PC1.80 ED182 Black",392,195960.7999999999
"Adventure Works Desktop PC1.80 ED180 Black",520,191880
"Proseware Projector 1080p DLP86 Black",76,189924
"Adventure Works 52" LCD HDTV X790W White",119,189471.80000000002
"Adventure Works Desktop PC1.80 ED180 Silver",493,181917
"Contoso Water Heater 4.3GPM M1250 Grey",207,181642.5
"Adventure Works Desktop PC1.80 ED180 White",490,180810
"Contoso Water Heater 4.3GPM M1250 White",194,170235
"Adventure Works 37" 1080p LCD HDTV M150W White",152,167198.48000000007
"Contoso Water Heater 4.3GPM M1250 Green",186,163215
"Proseware Projector 1080p LCD86 Black",71,162945
"Adventure Works 52" LCD HDTV X790W Silver",102,162404.39999999997
"Contoso Water Heater 7.2GPM X1800 Blue",110,162250
"Adventure Works 37" 1080p LCD HDTV M150W Silver",147,161698.53000000003
"WWI Desktop PC3.0 M0300 Black",453,158097
"Contoso Water Heater 4.0GPM M1250 Silver",190,150290
"WWI Projector 1080p DLP86 White",59,147441
"Fabrikam Refrigerator 24.7CuFt X9800 Grey",46,147199.54
"Fabrikam Refrigerator 24.7CuFt X9800 White",46,147199.54
"WWI Desktop PC3.0 M0300 Silver",421,146929
"Proseware Projector 1080p LCD86 White",64,146880
"Contoso Projector 1080p X981 Black",57,142443
"WWI Projector 1080p DLP86 Black",57,142443
"Adventure Works Desktop PC1.60 ED160 Black",521,140643.94999999987
"Contoso Projector 1080p X981 Silver",56,139944
"WWI Desktop PC1.80 E1802 White",464,139153.6
"Adventure Works Desktop PC1.80 ED180 Brown",376,138744
"Contoso Projector 1080p X980 Silver",60,137700
"Contoso Projector 1080p X980 White",60,137700
"Adventure Works Desktop PC1.60 ED160 White",505,136324.7499999999
"WWI Desktop PC1.80 E1801 Black",505,136299.4999999999
"WWI Projector 1080p LCD86 Black",59,135405
"WWI Projector 1080p DLP86 Silver",54,134946
"WWI Projector 1080p LCD86 Silver",58,133110
"Contoso Water Heater 4.0GPM M1250 White",168,132888
"Fabrikam Independent Filmmaker 1/3'' 8.5mm X200 Grey",85,132600
"Contoso Water Heater 4.3GPM M1250 Blue",149,130747.5
"Adventure Works 37" 1080p LCD HDTV M150W Black",118,129798.82000000002
"WWI Projector 1080p LCD86 White",56,128520
"Adventure Works 52" LCD HDTV X790W Black",79,125783.8
"Adventure Works 40" LCD HDTV M690 Brown",106,125606.82000000007
"WWI Desktop PC1.80 E1800 White",538,123686.19999999998
"Adventure Works Desktop PC1.60 ED160 Brown",455,122827.24999999993
"Contoso Water Heater 4.0GPM M1250 Blue",154,121814
"The Phone Company Touch Screen Phone 1600 TFT-1.4" L250 Gold",201,118389
"Adventure Works 37" 1080p LCD HDTV M150W Brown",106,116598.94000000003
"Adventure Works Desktop PC1.60 ED160 Silver",430,116078.4999999999
"WWI Desktop PC1.80 E1801 Brown",428,115517.19999999998
"Adventure Works 40" LCD HDTV M690 Black",97,114942.09000000005
"WWI Desktop PC1.80 E1801 Silver",415,112008.49999999999
"WWI Desktop PC1.60 E1600 Black",509,111954.54999999992
"WWI Desktop PC1.60 E1600 Silver",507,111514.64999999994
"Contoso Water Heater 4.3GPM M1250 Yellow",127,111442.5
